time_s,x_0,x_1,x_2,x_3,d_0,d_1,d_2,d_3,u_0,u_1,u_2,u_3,a_0,a_1,a_2,a_3,e_0,e_1,e_2,e_3
3.500000000000000333e-02,-1.530215161445732441e+00,-1.657198139754858524e+00,2.020540269912228126e+00,1.035091680298139583e+00,2.091502919240253652e-03,4.952063107531021885e-02,-1.262174588651730940e-02,7.989772153172605695e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.091502919240253652e-03,4.952063107531021885e-02,-1.262174588651730940e-02,7.989772153172605695e-02
3.549999999999999684e-02,-1.872269666970067359e+00,-1.874189627177747397e+00,1.899115333907494207e+00,1.247074567044631488e+00,-2.681419998527753701e-02,2.923782015569834081e-02,-2.059479795205537700e-02,5.388765199155590851e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.681419998527753701e-02,2.923782015569834081e-02,-2.059479795205537700e-02,5.388765199155590851e-02
3.599999999999999728e-02,-8.204481662035560952e-01,-1.945154082240348137e+00,9.483371486589996513e-01,7.051327355483374415e-01,-2.273413417958075611e-02,-3.397824491285436187e-03,-3.653801266307755979e-02,7.200655278456575756e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.273413417958075611e-02,-3.397824491285436187e-03,-3.653801266307755979e-02,7.200655278456575756e-03
3.649999999999999772e-02,9.087636895777276846e-01,-1.733535640027209501e+00,-1.598098929130053469e-01,-7.950611591248592236e-02,-9.689302200948722403e-04,-2.373622330973142180e-02,-5.442719677224364810e-02,-4.403949061484703498e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.689302200948722403e-04,-2.373622330973142180e-02,-5.442719677224364810e-02,-4.403949061484703498e-02
3.699999999999999817e-02,2.010575858637831725e+00,-1.205653871586062742e+00,-6.356204739943478454e-01,-3.854850856509292045e-01,1.814082206607699199e-02,-2.381366666925923900e-02,-5.219139797751222443e-02,-6.993281715496391104e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.814082206607699199e-02,-2.381366666925923900e-02,-5.219139797751222443e-02,-6.993281715496391104e-02
3.749999999999999861e-02,1.700747521055628875e+00,-4.896015071775000616e-01,-3.576654990768037834e-01,6.479262084927375764e-02,1.205886539378136016e-02,-5.665403377278511662e-03,-2.711514266098770734e-02,-6.542946617198024117e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.205886539378136016e-02,-5.665403377278511662e-03,-2.711514266098770734e-02,-6.542946617198024117e-02
3.799999999999999906e-02,3.604835092131557506e-01,2.254177145177855002e-01,9.653520377181028234e-03,8.878536417471259989e-01,-2.661921194888600302e-03,1.517411296857800601e-02,6.402608590876727492e-03,-3.726281345155354335e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.661921194888600302e-03,1.517411296857800601e-02,6.402608590876727492e-03,-3.726281345155354335e-02
3.849999999999999950e-02,-8.492802460625386018e-01,8.040151984086656434e-01,-2.942336912979352515e-01,1.407204843506052905e+00,-2.814652774284220893e-03,2.717792642526777394e-02,3.469455112604213909e-02,-1.640617788153721918e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.814652774284220893e-03,2.717792642526777394e-02,3.469455112604213909e-02,-1.640617788153721918e-02
3.899999999999999994e-02,-1.031552489005175932e+00,1.190680394859114699e+00,-1.294819569965792283e+00,1.207321775522236518e+00,1.635760729437391037e-02,2.067470714185465006e-02,4.183242578061083239e-02,-7.834926644956094477e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.635760729437391037e-02,2.067470714185465006e-02,4.183242578061083239e-02,-7.834926644956094477e-03
3.950000000000000039e-02,-2.891696722229337713e-01,1.355650063922757331e+00,-2.176026617475550928e+00,3.656315110161614257e-01,4.379424840577137573e-02,4.191281799534679608e-03,3.352901894001045907e-02,-5.486597150497451482e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.379424840577137573e-02,4.191281799534679608e-03,3.352901894001045907e-02,-5.486597150497451482e-03
